text,category,risk_label,explanation,source
"Except for indemnification obligations or breaches of confidentiality, neither party's cumulative liability under this agreement shall exceed the total amount paid by customer to company in the twelve (12) months preceding the claim.","liability_limitation","standard","A standard, reciprocal liability cap that limits exposure to fees paid, which is industry-normal and balances protection for both parties.","Standard Business Contract"
"The landlord shall not be liable for any damage, loss, or injury to tenant or tenant's property from any cause whatsoever, including landlord's own negligence, unless caused by landlord's willful misconduct.","liability_limitation","risky","Exempts the landlord from liability for their own negligence, which is highly dangerous and illegal in many residential tenant protection jurisdictions.","Aggressive Lease Agreement"
"We collect your usage logs, device identifiers, and location data to improve our services, customize content, and deliver targeted advertising. We do not sell your personal data to third parties.","data_collection_sharing","cautionary","Collects location and device data for tracking, but contains a pledge not to sell data. A standard tracking baseline that requires user caution.","Standard Privacy Policy"
"We do not collect any personal data, and we do not use tracking cookies. All diagnostic data is anonymized and stored locally on your device.","data_collection_sharing","standard","Highly user-friendly and privacy-protective data policy that minimizes data collection and respects user privacy by default.","Signal Privacy Policy"
"We reserve the right to share, license, rent, or sell your personal information, purchase history, and browsing behavior to data brokers, marketing affiliates, and advertising partners for target monetization.","data_collection_sharing","risky","Explicitly states that personal and transactional data is sold or shared with data brokers for profit, representing a critical privacy risk.","Aggressive Data Broker Policy"
"Either party may terminate this Agreement for convenience at any time upon thirty (30) days prior written notice. If you terminate, you will not receive a refund for any pre-paid services.","termination_conditions","standard","A standard termination for convenience clause with a reasonable notice period, typical of modern monthly SaaS agreements.","SaaS Subscription Terms"
"We reserve the right to suspend or terminate your account instantly at any time, with or without cause, and without prior notice or liability. Upon termination, your right to use the services will immediately cease.","termination_conditions","risky","Allows the provider to delete user accounts arbitrarily and without warning, potentially destroying user data or business operations without recourse.","SaaS Terms of Service"
"If Tenant fails to pay rent when due, Landlord may terminate this lease upon giving Tenant three (3) days written notice to pay rent or vacate the premises.","termination_conditions","cautionary","A standard but strict rental termination clause for non-payment. Standard practice, but requires quick tenant action to avoid eviction.","State Bar Lease Template"
"If rent is not paid by the fifth (5th) of the month, a late fee of fifty dollars ($50) will be assessed. No further daily late penalties shall accrue.","fee_structures_penalties","standard","A standard late fee structure that provides a 5-day grace period and caps the penalty at a reasonable flat rate, typical of state renter protection guidelines.","HUD Rental Template"
"IN THE EVENT RENT IS NOT PAID BY THE FIRST (1ST) OF THE CALENDAR MONTH, TENANT AGREES TO PAY A LATE CHARGE OF TEN PERCENT (10%) OF THE MONTHLY RENT FOR EACH DAY RENT REMAINS UNPAID.","fee_structures_penalties","risky","An illegal and predatory daily late fee structure. Compounding daily fees can lead to astronomical debts and violate state cap laws on lease penalties.","Predatory Lease Template"
"A mandatory, non-refundable cleaning fee of three hundred dollars ($300) will be deducted from the security deposit upon tenant move-out, regardless of the cleanliness of the apartment.","fee_structures_penalties","risky","Automatic deductions from security deposits for routine cleaning are prohibited in many tenant protection laws, as deposits should only cover damages beyond wear and tear.","Lease Agreement"
"This agreement shall be governed by and construed in accordance with the laws of the State of Delaware, and any disputes shall be resolved in the state or federal courts located in Wilmington, Delaware.","governing_law_venue","cautionary","Specifies a foreign state (Delaware) for governing law and dispute resolution. Standard for corporate disputes, but highly inconvenient for individual consumers.","SaaS Terms of Service"
"This Lease shall be governed by the laws of the state where the Property is located. Any legal action arising under this lease must be brought in the county court where the premises reside.","governing_law_venue","standard","A standard, localized governing law and venue clause. Ensures dispute resolution takes place where the transaction or tenancy actually occurs.","Standard Lease Template"
"This Agreement is governed by the laws of the Cayman Islands, and you waive any right to object to this jurisdiction as inconvenient. Any litigation must take place in Grand Cayman.","governing_law_venue","risky","Forces disputes to a foreign tax haven (Cayman Islands), making it logistically and financially impossible for an average consumer or freelancer to sue.","Crypto SaaS Agreement"
"We collect and use your data only after obtaining your explicit opt-in consent. You can withdraw your consent, access your data, or request hard deletion of your information at any time via your account settings dashboard.","privacy_consent_mechanisms","standard","An exemplary privacy consent clause that defaults to opt-in, provides simple dashboard controls for data deletion (GDPR right to be forgotten compliance).","Privacy Policy"
"By using our site, you agree to our cookie policy and tracking scripts. If you do not agree, you must immediately stop using our services. We do not provide granular cookie preference toggles.","privacy_consent_mechanisms","risky","Forces all-or-nothing consent for invasive tracking, violating modern privacy frameworks like GDPR/ePrivacy that mandate granular, voluntary consent.","Aggressive Tracking Site"
"We track cookies and use analytics scripts to operate our website. You can configure your preferences and disable non-essential marketing cookies using the Consent Preference Link in our footer.","privacy_consent_mechanisms","cautionary","Uses a banner or preference manager. Standard compliance structure, though tracking defaults may be enabled on first visit until opted out.","Standard Cookie Policy"
"The Landlord or their authorized agents may enter the leased premises during reasonable business hours (9:00 AM to 6:00 PM) to inspect the property or perform repairs, provided they give the Tenant at least twenty-four (24) hours advanced written notice.","termination_conditions","standard","A standard residential lease entry clause. Balances the landlord's need to maintain the property with the tenant's right to quiet enjoyment and privacy.","State Bar Lease Template"
"THE LANDLORD RESERVES THE RIGHT TO ENTER THE PREMISES AT ANY TIME, WITH OR WITHOUT ADVANCED NOTICE TO THE TENANT, FOR ANY PURPOSE RELATED TO MANAGEMENT, INSPECTION, OR REPAIRS.","termination_conditions","risky","An illegal and highly intrusive lease clause. Landlords are legally required to give advance notice (usually 24h) for entry except in active emergencies.","Predatory Lease Template"
"You agree to defend, indemnify, and hold harmless the Company and its officers from and against any claims, liabilities, damages, or costs arising out of your breach of this Agreement or your use of the Services.","liability_limitation","cautionary","A standard one-sided indemnification clause. Common in SaaS terms, but places significant financial liability on the user if a breach occurs.","SaaS ToS"
